,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129
0,-232.00664,-228.4933,-234.78725,-238.6633,-236.00357,-236.17763,-236.64258,-238.53217,-238.14786,-239.22935,-234.85754,-235.60643,-237.20908,-236.48608,-239.5018,-237.8952,-237.31084,-241.7511,-240.02261,-238.98737,-234.53954,-240.81033,-243.66867,-235.30824,-233.07527,-238.40883,-243.39885,-244.64056,-242.32854,-243.22911,-244.0883,-244.22485,-244.52916,-244.01968,-243.4269,-240.18652,-239.87758,-240.5595,-237.19975,-234.11823,-239.12912,-242.65605,-239.33499,-232.35704,-209.79,-179.54337,-155.77982,-158.26184,-188.92085,-214.50868,-223.90878,-213.58449,-179.76959,-174.60486,-190.86475,-191.06332,-205.70709,-222.09717,-181.91357,-151.73447,-168.71811,-172.20486,-154.30978,-155.49469,-161.46523,-185.31587,-203.30066,-208.02046,-203.90363,-177.5803,-169.6568,-174.0954,-176.03973,-179.1938,-183.16896,-185.12549,-203.51991,-231.36603,-241.72275,-239.94061,-239.88109,-241.32323,-242.11398,-243.71951,-247.41145,-249.84619,-246.65442,-241.36469,-241.50914,-245.17946,-247.65625,-244.79295,-238.79791,-237.19583,-233.58102,-231.27963,-232.83286,-232.29907,-227.80916,-221.54216,-219.43549,-229.85173,-239.47322,-240.89687,-245.1007,-246.23392,-246.12378,-237.30542,-236.34668,-242.81483,-241.72646,-242.63908,-246.35112,-246.79582,-241.89374,-240.36978,-241.26962,-238.27206,-240.0508,-234.4219,-223.42322,-223.74054,-228.56967,-235.22993,-238.62234,-238.8776,-236.52406,-234.72458,-241.9514,-245.56848
1,127.73899,128.59169,125.26361,129.84448,134.02843,135.50827,138.39828,139.88167,137.29956,136.05582,136.41098,136.24672,140.1666,144.25981,143.47723,142.95206,141.31348,139.4442,141.16699,142.4807,143.95288,138.67471,137.22116,145.22293,143.55357,135.40259,132.00931,131.16544,132.23862,129.81644,129.95602,133.80923,135.44153,134.19385,131.66367,132.7013,132.16031,134.32028,135.89182,136.6203,139.38513,134.59909,136.34409,146.8269,155.81915,161.75287,160.9649,159.297,159.60104,154.23663,143.08392,138.99286,151.09406,156.69208,150.45665,153.27194,148.63376,142.799,117.21069,128.74402,157.84525,149.97128,142.6519,146.31354,148.7868,140.7222,118.0775,114.82915,136.0286,172.13611,174.88242,164.71648,163.59938,166.5606,167.45552,165.68378,160.51996,138.72412,135.92448,138.49606,135.76007,133.49362,135.46063,136.67513,135.37589,136.03629,135.78937,138.95058,139.51295,135.34012,131.35892,129.40073,128.95255,127.10538,127.424225,130.58368,131.55914,134.02766,138.87897,146.20625,150.74313,149.10796,140.65543,138.36032,136.75443,136.873,136.54941,141.3866,141.87805,137.73035,137.97974,136.11746,135.02875,136.8265,139.2667,139.46811,135.26733,133.2922,130.35928,124.08182,121.15392,126.353264,130.56845,130.46298,131.66833,130.97694,131.2907,135.60002,139.12216,139.00903
2,-19.656267,-20.018303,-23.26558,-20.279276,-18.25795,-17.77169,-16.509363,-12.741061,-16.241814,-13.275436,-12.588453,-16.983902,-15.966093,-10.1352005,-10.310631,-11.271222,-14.100426,-15.273103,-13.911985,-12.776886,-13.142049,-16.21315,-18.636772,-18.557365,-15.16925,-15.756097,-20.456429,-14.043757,-16.701288,-14.418303,-15.379635,-17.851652,-17.238037,-17.77683,-19.504482,-20.938679,-23.623886,-20.827812,-20.1642,-18.529638,-18.061117,-17.218695,-13.904559,-5.693601,-9.731764,-26.331642,-41.16812,-45.319977,-32.938637,-16.810354,-14.192467,-23.087059,-26.547842,-18.8348,-12.074031,-7.740015,-8.34177,-12.660189,-23.955853,-18.14759,-15.725934,-27.005835,-40.237114,-46.18738,-42.04265,-23.362934,-5.879302,-5.014909,2.3139868,4.172309,-5.0695677,-10.566931,-15.771444,-19.85801,-22.711636,-26.606339,-20.942783,-17.219574,-12.629469,-15.313808,-16.95882,-16.730635,-15.133776,-16.444805,-17.652246,-16.964128,-18.0324,-14.192389,-9.413642,-16.851046,-20.733122,-21.289257,-20.20915,-17.481472,-18.727089,-15.366967,-13.991358,-21.612617,-25.852455,-22.44263,-20.97174,-21.109335,-21.354446,-18.384438,-16.622993,-16.927044,-20.246784,-15.354591,-14.649763,-11.445701,-10.7380495,-16.338463,-22.816092,-20.74089,-18.361952,-19.875666,-15.949432,-14.163704,-14.675648,-12.655022,-16.793198,-13.134144,-8.996466,-11.743193,-14.57913,-14.791205,-19.433859,-20.041563,-14.497501,-14.89299
3,23.342909,23.64349,25.251385,22.138662,15.349352,16.913635,22.034172,23.449745,21.375671,26.763899,24.835436,21.196774,18.018341,20.742214,19.75119,20.444645,22.116978,24.788933,23.98571,18.042933,20.020683,21.01228,18.32818,17.153614,21.730371,21.470802,18.897919,24.484444,18.629164,15.022711,17.307789,19.433495,18.010782,18.774883,20.43673,19.20488,12.939538,12.530985,13.3343525,11.742669,16.12841,13.855061,11.53974,16.12223,17.3679,15.939471,19.286003,26.210896,27.188564,20.00861,17.063417,17.27948,24.92414,26.183327,30.539614,36.096508,33.30361,25.71549,34.86531,36.99744,32.992996,36.49067,47.12648,56.607117,47.454163,30.679867,17.80626,15.784626,14.248707,17.39484,27.391273,28.483997,21.711658,20.161613,15.376432,14.079052,16.862879,19.572014,22.689194,24.013737,19.432777,20.067818,23.776299,21.801395,19.088993,19.171768,23.660463,26.493698,28.705029,25.700264,22.783878,25.909473,26.064373,24.474,23.763065,23.021248,23.266792,21.050594,14.232817,9.805203,13.538706,18.749668,17.478394,15.744616,18.107693,21.743908,26.39894,25.234505,24.765446,27.501318,21.937004,24.296776,17.81601,16.416807,20.016605,21.008099,20.259888,21.446203,20.619621,16.58162,13.9947815,19.93237,23.857876,24.818539,21.041668,20.171766,22.080746,17.233332,20.002357,17.84996
4,8.069756,10.402072,12.57617,10.025057,3.8311596,7.3942466,13.1491785,12.341196,16.73801,20.190235,19.624134,19.22527,17.246012,12.226752,12.275374,12.211174,15.326412,20.369865,19.722778,21.898495,17.638807,16.062635,15.123636,16.41847,16.499222,17.124979,17.337177,17.270657,13.184059,9.433371,11.7169695,16.501514,14.8979645,17.292614,18.807095,20.61111,13.840735,12.354464,9.21818,7.8539143,12.8044,15.480137,16.657948,12.155687,10.927095,10.39759,15.234827,27.335028,27.574991,16.624306,17.194513,18.093178,20.364386,12.516201,1.0461254,0.5641215,2.765932,2.7673235,1.3188822,5.3778043,15.995458,22.606976,21.807491,22.010075,21.8512,20.57092,13.69615,12.491743,3.4792702,-21.545624,-29.274046,-26.441189,-24.445587,-14.134673,5.088026,12.880048,14.15098,12.262178,9.854335,9.207981,7.64202,12.748792,15.236238,16.574406,14.781652,12.4003,13.904669,14.434253,13.039841,10.045027,8.089867,6.9287844,3.857097,6.328137,9.181935,8.982147,4.9268646,7.4105377,8.994958,5.677696,4.039768,3.91851,2.9019156,1.598078,6.7057076,11.283371,14.872963,11.651595,13.253897,13.318886,9.13209,14.515438,12.864509,6.042547,3.6776366,9.329286,15.411046,15.157864,10.771582,12.850063,9.185093,8.892912,12.16544,12.015709,9.641087,9.282594,12.799336,14.54245,18.384438,11.5847225
5,21.897839,21.8127,18.050825,15.879038,12.958609,15.7202835,19.644512,17.842144,21.366821,21.19528,22.154327,19.943213,20.37354,13.940832,14.803567,15.465677,19.551208,22.613308,19.319796,22.765268,23.462769,19.337559,17.827084,22.871315,21.09045,15.499796,16.73558,21.46099,27.144276,25.709206,19.119217,22.77518,22.99225,22.126673,23.745289,27.014292,24.85281,23.903713,22.55807,21.32415,19.878933,19.683548,21.193296,15.505996,7.7160144,3.6537948,0.40610254,1.2933834,6.894807,14.45042,16.654524,20.68884,14.806398,12.483181,11.560639,8.525678,7.55943,8.573362,8.372524,8.814999,8.476864,5.950202,2.2299132,-2.7613707,-4.6637506,3.8129482,16.800238,14.085324,3.06737,-6.499076,-4.531617,0.8146384,7.4556913,8.827918,12.080256,15.375059,18.07192,22.523312,18.731876,15.571421,14.49317,16.138763,19.984814,19.84538,18.746563,14.810154,15.368754,18.254608,16.579765,11.752319,8.992388,9.135943,10.546144,17.289682,17.717447,16.464493,14.115166,15.75334,18.284122,14.521822,10.512411,10.226521,9.428074,4.7829413,6.10627,11.087946,14.318321,11.867468,13.43096,17.980644,16.371819,11.3403,11.765305,8.285932,11.748009,17.755367,22.294527,20.962849,19.499004,22.366611,23.050125,22.962845,21.026327,21.899025,23.76556,24.01865,22.987518,24.518435,25.107365,17.915606
6,7.706792,11.992491,12.340355,5.7276564,5.008476,5.5011806,4.829339,6.5464225,4.0867662,6.133373,7.427499,5.2538767,9.148083,5.0587,3.5627818,2.185021,5.655641,7.133258,4.7026463,6.227322,6.7406034,4.0547867,3.3121336,8.334358,8.607911,5.550749,0.7318777,3.8297145,12.015224,11.237764,2.4260902,3.3594308,3.8955607,4.0391707,5.786492,7.0688615,9.276907,10.224627,9.81816,10.142515,7.358294,6.605212,6.71655,2.2931113,-6.706244,-4.50194,-4.205883,-9.433283,-7.82658,5.826087,4.932136,-2.6958725,-9.567553,1.228312,14.605661,10.404112,-0.52329886,3.1791449,2.7023888,-6.674305,-10.841766,-14.3256235,-17.991697,-9.488995,-12.070381,-13.072642,-3.4150033,-0.52161384,-1.3235483,3.469506,8.278085,12.562233,17.741674,15.3352375,-2.8088837,-6.411854,1.7452954,8.619311,6.061624,9.169561,7.11254,8.350196,12.170065,10.294971,9.15142,9.685125,12.840176,17.994133,18.60975,13.899309,12.273646,8.251372,5.9647384,8.128187,10.313637,7.3917828,6.5579205,11.581448,13.560533,7.1078777,6.642538,8.454195,7.211153,2.1481028,-0.16264558,4.788672,12.653248,13.557701,16.228712,17.898243,15.132202,8.791766,8.471205,8.49452,13.618671,15.18738,10.061077,8.966128,8.717055,8.443614,11.423567,13.370861,12.127619,12.223522,9.070753,7.8571053,10.292133,9.251108,4.993165,3.379511
7,5.728873,8.558601,10.463833,6.792728,7.3846197,11.235558,10.886397,12.613483,10.89976,10.684435,11.078451,10.934882,12.018266,12.726404,14.4568,10.2088,10.595604,11.782545,13.863138,14.040349,7.540654,8.65353,12.724121,12.590912,10.138363,10.423264,10.330642,8.317392,9.097703,12.375649,12.265736,14.328806,14.595774,15.276333,17.384062,14.52393,14.2058935,12.910582,11.240595,12.245428,11.097288,13.78171,12.984102,8.149296,1.4616734,-9.083564,-14.0029,-13.696123,-5.695352,7.7971563,6.4308705,-2.12087,-9.213145,-8.655851,-3.1148114,-6.911249,-8.751077,1.7250786,4.9695497,-2.691137,-8.684799,6.093113,5.677219,-3.2632387,-7.288603,-1.965867,6.6621857,13.077665,9.975853,2.2534847,-8.846909,-10.795142,-7.477092,-5.4462657,-0.7559347,0.4372348,0.22911328,7.923052,6.8696184,10.707752,12.953639,16.232418,17.73034,15.614788,15.194807,14.979401,12.375531,16.113152,21.092505,18.183989,14.378528,10.95445,8.978962,7.971497,13.979485,14.1983795,9.928173,13.684368,13.449773,10.384433,12.960883,15.557891,11.065868,10.537424,8.145928,11.852172,17.386772,23.127762,21.924774,12.568834,9.009772,12.9627495,11.522337,14.755268,14.958066,17.669727,17.212929,17.57939,20.276485,17.874208,17.099491,13.392471,12.508793,11.947063,6.3012347,4.4191008,6.481022,9.899156,8.861966,5.7069187
8,6.543002,3.916081,3.3471575,3.6645007,3.4316962,4.9452453,5.783595,7.9000516,9.820687,10.171301,8.519745,5.3587794,4.1707897,6.607932,2.5765226,1.831749,2.4902997,3.9159935,5.023596,3.1213124,2.477411,4.6688375,7.738329,9.034778,6.722438,5.0272627,5.477915,3.0028987,3.7870092,7.7462263,12.824837,14.428834,11.518846,10.379929,7.1275353,8.282533,10.056346,8.01791,6.793866,5.116919,4.85746,5.8054724,0.41430193,-1.6572461,-6.0857553,-15.518108,-18.897224,-13.700674,-4.545857,-0.9433092,-1.7005754,1.2881641,-4.6602397,-13.372568,-11.910685,-20.060514,-16.039284,-2.7989762,2.8608356,-3.4394162,-7.572283,-7.9897947,-5.5193143,5.175927,7.9831305,-3.1309512,-6.1586075,-1.1247883,-5.297141,0.6370044,6.7491283,2.8915823,-5.4423,-16.338522,-9.790705,-5.385337,-4.8716555,1.1207045,4.588092,7.6844697,9.491131,6.116384,7.183059,1.267567,6.0817986,4.400921,0.5660049,6.1755657,5.8618813,3.6876802,-1.6903865,0.24875724,0.97976303,1.3378758,1.9217738,4.689092,3.500739,1.6436391,-3.7193882,-3.3111806,-0.64811224,3.5335717,5.352445,8.875912,5.0160336,1.3989573,3.552809,11.038958,9.92131,-0.36366665,-5.265099,1.0842507,2.031817,4.386878,2.1353135,3.3932781,5.524989,4.9926972,4.004942,3.329496,3.4872472,1.8790672,4.9195538,5.16881,4.755508,2.0342612,2.3724062,6.7360992,7.713909,3.8902876
9,5.45257,7.398759,11.29006,9.796417,8.0138445,7.968638,8.87148,11.734588,15.255731,18.083412,15.915861,14.263079,7.743833,7.2576504,5.062705,5.3459663,7.5907617,7.165203,4.5853434,9.12742,12.247877,10.462765,6.4117503,7.3245964,10.44679,12.42276,10.586821,7.564531,9.21666,14.437048,16.710056,17.03239,12.9904,9.784716,7.379587,9.882976,12.859814,14.169107,15.782047,12.866886,12.426222,13.533888,11.277409,9.416418,6.848817,14.748975,22.956652,21.363373,12.955237,10.755024,9.930788,7.1489344,3.6627347,0.583558,-0.7083762,-3.1014104,-4.039481,-0.89852595,9.562431,5.6185074,5.673447,5.9323726,1.8354132,-1.1149106,4.016059,7.9848814,7.2150326,8.106652,4.760138,4.1887,4.8875003,2.063666,-6.948799,-10.851622,-2.2720137,-0.008051157,-1.7267919,5.8106937,10.577175,9.337158,12.111551,11.319704,6.8509035,6.6397405,6.5506163,10.778168,12.130032,17.694527,19.851215,17.187977,14.33585,16.997168,16.607996,12.893132,14.100002,16.84106,13.311873,11.488224,6.962964,5.629837,6.9415216,5.0461273,4.4158897,10.714533,11.093713,11.119255,13.010231,15.546824,18.673874,15.002281,8.315105,13.412068,15.50748,15.2047415,14.089202,11.084047,11.103447,10.956881,8.484539,14.212715,17.241058,19.020985,17.121899,12.113405,14.908957,16.523876,15.838585,15.656412,12.5777,11.7691765
