,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,speaker
0,-527.5109,76.084854,14.256564,27.082333,11.015109,10.822815,6.6176653,5.3102903,5.0760403,6.6099224,-4.0640235,-1.9781368,-1.8396062,-3.2088535,-1.8210877,-4.6288424,-2.7169733,-9.886862,-7.6039844,-6.752658,-7.4735174,-6.471459,-6.3826942,-1.4175385,-1.6257358,-3.2966456,-2.56873,-2.8514462,-5.07014,-3.0607653,-2.7341774,-3.0329547,-1.7196733,-4.680421,-0.9473848,2.3584347,1.5742618,1.8492401,0.9899578,0.48178154,1
1,-481.35217,62.223526,10.688723,23.304268,7.7383776,4.814822,4.695966,4.551531,4.395646,5.3352246,-5.340837,0.5654324,-0.09539217,-4.113684,-0.30465528,-3.7552555,-1.7012676,-6.8524046,-6.093537,-6.5491905,-5.428279,-6.231562,-7.710548,-0.7301372,-1.9149141,-2.7432082,-2.5522702,-3.0611174,-4.7226667,-3.0922134,-3.3573017,-3.3299093,-1.4723206,-6.147109,-2.2458937,0.5415217,0.9910208,2.9459727,1.7590317,1.4438944,1
2,-473.5544,72.24605,9.286999,28.468245,10.555269,7.1774697,3.7839723,2.9323392,1.1704392,6.737683,-7.0705185,-1.5350934,-1.2460663,-2.2471051,-0.58258206,-4.4354825,-4.121267,-10.763489,-6.450678,-6.994423,-5.4876895,-5.367278,-7.3135595,-2.0266588,-0.108399846,-3.759873,-3.6320548,-2.6676078,-5.976607,-4.3783073,-1.5973517,-2.9752672,-0.9790745,-0.22018614,2.229172,5.0396714,2.181894,1.951762,0.3669683,-0.13364564,1
3,-469.0512,57.088566,7.791808,27.02576,11.196013,8.460496,3.9842868,4.978222,0.068877086,4.686613,-6.304736,-0.9224999,-1.4143845,-1.9546534,-2.3175964,-6.6547446,-4.276676,-10.632485,-6.9216166,-6.160071,-5.368006,-7.107387,-5.581513,-1.2583361,-3.4348676,-3.5126605,-3.9451222,-5.430438,-4.6999497,-3.415656,-3.4835396,-2.4159458,-0.19737123,0.3560795,2.983599,4.499038,3.6051996,0.5768362,-0.32850906,0.48192918,1
4,-481.81958,65.49307,8.59816,24.191513,11.4491005,7.3911943,1.0785983,3.2095048,2.9300969,5.2827315,-5.6275015,-0.28104278,-1.3273487,-5.1654305,-1.3682246,-0.78262216,-1.1425976,-8.614645,-5.6014733,-7.0403123,-5.414026,-5.672564,-4.995946,-1.366875,-2.9054265,-2.5245075,-4.504509,-2.3353474,-3.307785,-3.8017452,-1.8659736,-4.1744237,-2.4456947,-1.7644874,-0.58006626,2.405417,3.6614547,3.5735419,3.52355,1.1281966,1
5,-481.95166,55.89296,13.663706,28.267529,12.705974,9.535027,4.2326837,4.9988027,1.1136847,5.3850675,-3.2720487,0.63370395,-0.59350514,-2.7759817,-1.0790776,-4.7004495,-1.5897254,-9.732867,-7.982856,-4.663945,-5.773629,-6.4185743,-5.064336,-2.4493196,-3.0303226,-3.7466273,-4.3593774,-3.1263144,-3.978427,-3.1756904,-1.2746588,-2.1473644,1.160181,2.8658018,2.6036773,4.5807967,3.5227826,1.5289809,0.4109567,-0.8136419,1
6,-499.9375,67.20842,10.210004,28.914362,14.922533,12.8754635,0.26532534,3.0588436,0.3569069,5.9057956,-6.6104536,-1.3835949,-2.547502,-1.6660283,-0.25182858,-4.6870737,-2.126311,-12.075714,-8.487642,-5.7922034,-5.5287223,-7.076546,-6.529855,-2.9431932,-3.4960976,-3.7385056,-3.7324252,-3.958468,-4.1553464,-3.6437645,-2.3659644,-3.2541215,-1.5314648,1.2193971,3.5030632,5.199564,4.903366,2.9320445,0.3519678,-0.5447415,1
7,-492.5723,61.302296,7.702203,23.590546,8.350997,5.956088,1.2637727,0.013685138,-2.659669,2.3536432,-5.3820934,0.9150255,0.90956587,3.4699585,3.2181354,-3.6627579,-2.118482,-9.831218,-6.4570355,-5.5237627,-7.3792424,-8.102808,-5.3133063,-2.0514905,-2.4261627,-1.2560906,-1.8806756,-3.8073251,-4.7630906,-2.5539002,-1.9135981,-2.273051,0.95043874,0.9398327,1.3489124,2.636927,1.4845746,1.0868993,-0.06869243,0.7589718,1
8,-471.73532,57.264114,9.740355,24.669998,8.4069395,9.263697,5.5761104,5.952083,2.6884818,2.6429665,-3.8275151,0.80841684,-3.2673852,-4.198029,-1.8133259,-4.8226676,-4.7558074,-11.287871,-6.7884936,-7.4156485,-5.6600976,-6.3074,-6.8454394,-1.0136869,-4.397753,-4.569386,-2.1983333,-3.9318058,-3.0932124,-1.9855788,-3.0901005,-2.7328262,-1.6762211,-0.11882128,2.3680165,4.0384836,4.1498847,2.8470628,0.2106646,-0.855236,1
9,-455.15927,55.96669,10.314068,25.558544,9.446328,8.81056,4.823448,6.0120726,5.8501644,5.408406,-7.0818906,-0.13958552,-1.264088,-1.8944485,0.929359,-5.2627873,-5.925351,-10.897274,-6.660234,-8.691938,-6.942611,-7.0013323,-7.837579,-2.371759,-5.3093166,-3.8265576,-2.7160096,-4.5879593,-3.4546673,-3.5062513,-3.046242,-0.24516432,1.9424654,1.3162023,3.0883446,2.3607783,0.10069087,0.6592073,-0.09478572,-0.54057187,1
